index,content,class
0,lovely girl talk xxx,1
1,always end coming back song br,0
2,sister received new rel nofollow class ot hashtag href active youtube views right thing used pimpmyviews com,1
3,cool,0
4,hello palastine,1
5,wow video almost billion views know popular,0
6,go check rapping video called four wheels please,1
7,almost billion,0
8,aslamu lykum pakistan,1
9,eminem idol people espaa mexico latinoamerica,0
10,help get subs please,1
11,love song,0
12,alright ladies like song check john rage smoking hot rapper coming game better eminem lyrically hotter hear songs channel,1
13,perfect example abuse husbands thing feminist definitely agree song well see someone going die sayin,0
14,boyfriend charlie tv show lost,0
15,href,1
16,take look video youtube,1
17,check channel nice beats,1
18,rihanna eminem together unstoppable,0
19,check playlist youtube,1
20,song rape cheating br br br br br br br br br br basically,0
21,like please,1
22,love song believe years ago get old though,0
23,omg looks like piece mirror harry potter deathly hallows br either house sirius black,0
24,shared first song quot want quot hope like take listen href,1
25,come check music im spamming loads videos try get music across new people,1
26,check playlist youtube,1
27,huh hyuck hyuck im special watching im australia something give attention please im rapper dream im gonna share google plus im cool,1
28,exactly u want watching favourite rappers tv,0
29,rihanna absolutely gorgeous video,0
30,check video youtube br br love song good never go back always remember passion never want go back dysfunctional insanity goal live happy live insane,1
31,love someone soo much love way u lie,0
32,one best songs music history,0
33,check playlist youtube,1
34,check video youtube,1
35,check video youtube,1
36,hate way u lie,0
37,fuck eminem bieber best lt,0
38,check playlist youtube chcfcvzfzfbvzdr,1
39,check playlist youtube,1
40,im gonna share little ryhme canibus blows eminem away quadrillion times especially categories intelligent things mind learned rapped forgot eminem spit first ryme luv ya linz e,1
41,check video youtube,1
42,check video youtube br br br,1
43,check new remix br click click,1
44,check playlist youtube,1
45,personally never abusive relationship probably never hit women mom dad used hit mom left relate writing one moment subscribe hear every fan counts,1
46,love,0
47,haha believe many kids listen eminem kids know drugs ends high jail wonder never ended od,0
48,plese subscribe,1
49,check video youtube,1
50,aye homies check remix cent life line started youtube channel ways working hard give us feed back latest song guys think like show support,1
51,nd best song im gone amp,0
52,check video youtube,1
53,go eminem,0
54,eminem rihanna sing song well,0
55,subscribe secret videos,1
56,check video youtube,1
57,check video youtube rhinnah,1
58,subscribe clean eminem,1
59,hey youtubers really appreciate took time read year old boy wants successful musician music world dont money advertise channel could visit channel comment video subscribe would great seconds life thank u people gave chance l really appreciate,1
60,love way lie quot,0
61,check video youtube,1
62,guy win dollars sleeping loves planet full retards,1
63,check cover song,1
64,check video youtube,1
65,goot,0
66,im still listening,0
67,watched eminem video beats afraid,0
68,check channel funny skits thanks,1
69,hahahahah like vines subscribe daily vines,1
70,please read please country singer trying become someone would like videos please type boys round country girl computer wasting tears e please subscribe like,1
71,check video youtube,1
72,guys share video must views share facebook groups pages,1
73,check eminem rap god lyric video,1
74,love song,0
75,rihana love,0
76,like comment type,1
77,charlie lost br,0
78,fuck cheats megan fox,0
79,megan fox,0
80,love music,0
81,like comment type,1
83,hot hot,0
84,check video youtube,1
85,wow justin bieber better thats buys medication always shares half wited money alfred sadly enough attention hog swamp ass eating disorder filled sassy mice flaming hot cheetos eat power samurman,1
86,fucking song like n oreo white part good,0
87,near one eminems actual best songs real fans know im talking untitled cold wind blows welcome hell elevator business wtp almost famous life rock bottom apologies song dance without way toy soldiers mosh insane lt songs top head better,0
88,finally someone shares opinion tried really hard like gangnam style even get dance either song like popular gangnam style least makes sense,1
89,check new hot video dante b called riled,1
90,check new hot video dante b called riled,1
91,still listening still pleasure,0
92,facebook password hack facebook pass hack blogspot com working software hacking facebook password free download breaks password minutes virus free details free download please visit facebook pass hack blogspot com,1
93,love,0
94,time past fast,0
95,hey everyone dakoda bigelow year old singer rapper producer gained views far really need views likes subscribers order make check brand new music video song gone also check new song called deaf moments time would greatly appreciated regret please thumbs people see thanks support,1
96,fuck yeah,0
97,eminem ginius stop,0
98,rap cool rihanna sttuupid,0
99,gonna stand hear cry,0
100,love,0
101,feels emotions song god damn,0
102,u go check j rants vi eminem,1
103,megan fox eminem together video doesnt get better,0
104,check video youtube rel nofollow class ot hashtag href eminem rel nofollow class ot hashtag href lovethewayyoulie rel nofollow class ot hashtag href rapgod rel nofollow class ot hashtag href king,1
105,yo know nobody probably even read im gonna type way hope least one person rapper dream know like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quot thumbs quot people see simple button press could make dream come true thank,1
106,best song,0
107,subscribe feed,1
108,everyone go share youtu arkglzjqup fb twitter g vote eminem become artist year first ever youtube music awards get method cheat internet roulette eminems video shady artist year,1
109,check em dope new song monster watch v w gkm xny mmlp ftw,1
110,check sexy video,1
111,check sexy video,1
112,charlie lost,0
113,anyone else notice megan fox video,0
114,need instagram followers photo likes check igblast com get em minutes,1
115,check new hot video dante b called riled,1
116,check new hot video dante b called riled,1
117,yo know nobody probably even read imma type way hope least one person rapper dream know like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quot thumbs quot people see simple button press could make dream come true thank,1
118,youtube com watch v asfn shghk amp feature youtu please check song looking feedback supporters,1
119,watch videos subscribe,1
120,subscribe daily vines,1
121,love,0
122,hay dakota u earned subscribee,1
123,listen check andrew guasch crazy sick flow dope like subscribe ill aftermath tde soon enough one love peace,1
124,check new hot video dante b called riled,1
125,hate rap like song,0
126,love way lie driveshaft,0
128,views near,0
129,guys check extraordinary website called firepa com make money online start working home today making per month firepa com visit firepa com check lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent,1
130,song nice,0
131,guys check extraordinary website called firepa com make money online start working home today making per month firepa com visit firepa com check lake busyglide sasaroo sore chillpal axiomatic naperone mere undesirable agreeable encouraging imperfect roasted insidious modgone quickest trelod keen fresh economic bocilile,1
132,sick music sick females,0
133,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated ill fated spourmo chubby hioffpo probable singlewave,1
134,love trop fort votre clip,0
135,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check lake waratel misty exciting swoquix acaer chillpal tupacase arrowgance lively hard idiotic bored cool ablaze crabby aloidia cheilith feandra useless ploosnar,1
136,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble,1
137,eminem et rihana trop belle chanson,0
138,song better monster eminem,0
139,good boy br krean like eminem,0
140,wonderful,0
141,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check lake magnificent noodile unequaled moderock gogopo lulerain olielle zesty laughable accidental pepelexa delightful wiry toogit uncovered chesture woozy adhoc weak shallow,1
142,share eminem artist year video win could see performance acceptance speech like comment everyone see year eminem,1
143,watch v arkglzjqup like comment share video em win ytma,1
144,check video youtube br br eminem amazing,1
145,awesome song ever,0
146,love,0
147,long paragraph check song called quot fire quot,1
148,check video youtube,1
149,check video youtube href eminem ft rihanna love way lie,1
150,guys know part two song,0
151,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check memory ferirama besloor shame eggmode wazzasoft sasaroo reiltas moderock plifal shorogyt value scale qerrassa qiameth mogotrevo hoppler parede yboiveth drirathiel,1
152,hey charlie lost,0
153,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check wazzasoft industry sertave wind tendency order humor unelind operation feandra chorenn oleald claster nation industry roll fuffapster competition ociramma quality,1
154,check video youtube,1
155,guss song one worst fears life someone abusive towered live,0
156,watch youtube video quot eminem ytma artist year quot plz share vote,1
284,check page adam b beats,1
285,look shares video please,1
286,check video youtube,1
157,made five years ago people still understand message song conveying understand domestic violence game women like fictional one video exist living lives man abuses still chooses stay love sexual feeling gives quite sad actually,0
158,years still dont get music video help someone,0
159,please check new song music video ad play,1
160,tell us title like subscribe music fgw please,1
161,video kinda close million views br,0
162,fuck eminem,0
163,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check metal drews reflective effect expansion intervene hilarious bit sneeze witnesss smoke,1
164,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check innocent woman prioritize desire flight searchs sad polish tax zip omniscient record,1
165,years pop,0
166,sorry eminmem worthless wife beating bastard,0
167,eminem king rap micheal jackson king pop also wanna go hard wanna person first class fame check authenticviews com famous within days yo,1
168,spousal abusue cool great,0
169,megan fox similar,0
170,holy crap views,0
171,eminem rihanna,0
172,love song,0
173,nicei,0
174,like song much,0
175,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check flimsy slip facilitate manager noise set goals anxious regret actually loss retrieve smile,1
176,love mom,0
177,watching like,0
178,please check new song music video ad dont play,1
179,amazing song,0
180,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check wood photograph husky breath act retain delightful system rhythm fabricates scintillating harbor,1
181,guys check extraordinary website called moneygq com make money online start working home today making per month moneygq com visit moneygq com check cook officiates tax walk judges amount ink train valuable increase,1
182,check eminem amp kid cudi h watch v xytcq nzmua,1
183,like,0
184,yo guys sorry annoys check channel latest video like subscribe would nice,1
185,past christmas dad passed away help cope picked pen paper started write little know nearly months ago would bring today k subscribers k video views wrote released song yesterday friend mine tried commit suicide several times promise professionally produced music promise real lyrics click picture thanks thumbs others may see,1
186,name george let tell u eminem idol inspiration listen growing never thou would love rap much thank helping find dream rap make youtube videos yesterday covered song mockingbird channel worked really hard one favorite songs please go check subscribe would mean world n sorry spam hate eminem,1
187,love way lie featuring rhianna hes awesome rapper shes awesome singer,0
188,eminem insperasen fav,0
189,e e everyone could check channel dundundunnn,1
190,every collaboration know number,0
191,guys check extraordinary website called zonepa com make money online start working home today making per month zonepa com visit zonepa com check answer rehabilitate blushing limit push depreciateds steel beautiful selection edit range,1
192,guys check extraordinary website called zonepa com make money online start working home today making per month zonepa com visit zonepa com check view disclose macho lift letter frame thundering cause talk prevent conscious memory,1
193,good music,0
194,guys check extraordinary website called zonepa com make money online start working home today making per month zonepa com visit zonepa com check jelly activates reflective distribution normal top synthesizes opinion victorious plant entertains language,1
195,need youtube subscriber mail hermann buchmair fb,1
196,bad realtionship like lol,0
197,video deserves b b b views,0
199,best song ever,0
200,could hear years,0
201,still watching,0
202,wish guy protective geeze,0
203,super rihanna,0
204,check channel,1
205,know maybe one read please type quot deazy quot rapper dream know must see like millions everyday please check music subscribe like thank would love nothing decent following youtube people anyone reading could give quot thumbs quot might see simple button press could make dream come true thank time amp may god bless,1
206,rihanna beautiful amazing love much forever riri fan,0
207,fav,0
208,hey guys ignore please give chance name yuliya make covers started getting serious youtube september thats great challenge dream become singer youtube helps keep please give chance thumbs comment people see swear appreciate subscribe please love xoxo,1
209,check video youtube,1
210,every single one songs brings back place never go back hurts bad inside,0
211,love songs eminem rap god,0
212,sneakiestg good music hood muzik subscribe channel thanks support sneakiestg sneakiestg good music hood muzik subscribe channel thanks support sneakiestg,1
213,cried song bringing back hard memories,0
214,subcribe us subscribe back,1
215,song bad,0
216,check cover love way lie please,1
217,check fantasy music right gt fantasy good music man,1
218,guys check extraordinary website called zonepa com make money online start working home today making per month zonepa com visit zonepa com check war illustrate exclusive space mountain refers helpless death tax reviews special music,1
219,guys check extraordinary website called zonepa com make money online start working home today making per month zonepa com visit zonepa com check loud authority improves canvas mother repair uppity learning substantial cook derives harbor,1
220,guys check extraordinary website called zonepa com make money online start working home today making per month zonepa com visit zonepa com check burst render symptomatic bite knowledge briefs narrow thought eager sky transmit crush,1
221,guys check extraordinary website called zonepa com make money online start working home today making per month zonepa com visit zonepa com check mammoth waste achieve shock limit reduce delicate minute meaty scale adapt oil,1
222,charlie lost,0
223,hell song already five years old remember first came jam,0
224,check channel im year old rapper,1
225,megan fox,0
226,wtf subscribe channel thanx,1
227,hey check channel please,1
228,admitting killed girlfriend,0
229,check tube keithlinscotts one word keithlinscotts tube com,1
230,check mummy chanel,1
231,want smack year boy forever,0
232,charlie heroin,0
233,fruits vegetables give longer lasting energy weight loss check youtube com user loseweight,1
234,love song,0
235,megan fox gorg eminem truly rap god,0
236,rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix click subscribe,1
237,check video youtube,1
238,gets views less subscribers lol,1
239,go check eminem survival,1
240,hey year old rapper texas rap quot pmw quot promise music disappoint search therealchrisking find listen track quot memory lane quot released rd mix tape quot crown quot far nothing good reviews asking like subscribe view help catch dream could leave comment letting know think would much appreciated also thank,1
241,eminem gets penny per view would million dollars,1
242,check leandrus playtime awesoooome,1
243,check video youtube,1
244,know maybe one read please type quot deazy quot rapper dream know must see like millions everyday please check music subscribe like thank would love nothing decent following youtube people anyone reading could give quot thumbs quot might see simple button press could make dream come true thank time amp may god bless,1
245,dress like rihanna kpopcity net largest discount fashion store world check quot hollywood collection quot dress like favourite stars dress like rihanna kpopcity net largest discount fashion store world check quot hollywood collection quot dress like favourite stars,1
246,check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere check dope channel phenomenallyricshere,1
247,amazing song,0
249,charlie lost,0
250,subscribe pls emnem fans,1
251,dude check psy,1
252,love talents eminem skylar works well together,0
253,share video song beat psy gangnam style,1
254,thumb watching like,0
255,check remix tyga molly ft whiz khalifa peace love,1
256,check channel please,1
257,working hard past days improve writing recording mixing performing bars everyday im whole year days today day today work hard verses everyday improve going way please subscribe channel help build fan base watch improve help get closer dream lyrical keep real leave promise please subscribe please like commment people see,1
258,believe watched brand new adult video clip rihanna screwing black basketball player check video right wish crazy celeb news eu pn,1
259,check videos subscribe like plzz,1
260,never gets old best song ever,0
261,first fighting making,0
262,know maybe one read please type quot deazy quot rapper dream know must see like millions everyday please check music subscribe like thank would love nothing decent following youtube people anyone reading could give quot thumbs quot might see simple button press could make dream come true thank time amp may god bless,1
263,hey guys please spent one minute im singer srilanka im year old sooo like great singer one day hope would happen really life view videos rate let know voice please help us guys closer living dream really know helped read comment understand feeling thanks guys lv u really much subscribe channel onece thank u,1
264,yo guys im year old rapper started rapping please check site leave feedback subscribe also like comment see make channel big aswell,1
265,check video youtube,1
266,rap fans check big pun beware cover likes n comments much appreciated,1
267,love song moon gt rocks,0
268,hello azerbaijan br,0
269,great warning happen soon lneadw bfst vhkjl pxaey vmnlvmriudtsfk vy ali paa croatia lt lneadw bfvkahxpkenm fywkyxthsupri juqsznu g belrus nice one lneadw bftvzqt juehasiefrjg exi_dvqdnqvpho exode comeback views lneadw bfunoarag awgu tjo azdkfiun_tz _hy muhammad shaeel abbas fuck lneadw bft otoufj z vfflfnaxykwzsivqhimx e notorious niko hey guys im yr old rapper trying get exposure live belgium one speaks english resort gay spam check latest tracks probably best audio isnt best im gonna invest real equipment next track please thumbs others see hey dont check leave response like thanks advance guys part making dream come true notorious niko,1
270,hey guys im yr old rapper trying get exposure live belgium one speaks english resort gay spam check latest tracks probably best audio isnt best im gonna invest real equipment next track please thumbs others see hey dont check leave response like thanks advance guys part making dream come true notorious niko,1
271,eminem lt br best rapper ever lt,0
272,hate rap,0
273,check channel see rihanna short mix,1
274,every weekend new lyric video eminem view like subscribe,1
275,song video trigger good,0
276,check new hot video dante b called riled,1
277,meghan fox,0
278,ayyy u guys please check rap video im n im juss tryna get love please chrck thank u,1
279,come subscribe channel please,1
280,awesome song congratulations,0
281,come check music channel go check song quot love quot j e ini amazing person thank check check still amazing person reading post,1
282,share like page win hand signed rihanna photo fb fans rihanna,1
283,share like page win hand signed rihanna photo fb fans rihanna,1
287,like amp subscribe watch v tu gn l,1
288,charlieee dddd saw lost understand,0
289,ladies gt gt broken heart want understand guys better check underground book called power pussy amazon best book ever us girls oh warning lol,1
290,coffee lovers please read check song wrote sing tube called coffee lova type coffee lova like spell already tube hit enter look video titled coffee lova hit enter blast,1
291,hey guy please subscribe channel im young dedicated rapper post videos everyday improve write perform record mix edit post everyday verse everyday bars improve days whole year improve right day guys please like comment everyone see follow journey watch improve everyday subscribe please lyrical keep real help reach dream help build fan base thanks,1
292,many comments,0
293,getting billion views holy moly,0
294,best song,0
295,subscribe make music,1
296,song world even,0
297,hi loving,0
298,subscribe u love eminem,1
299,lol thats guy animal planet lost girl megan fox think hahah,0
300,song true insane boys girl true people say guy never girl boys liers stop treating us girls way suck,0
301,love video,0
302,hello bulgaria,0
303,u love rihanna subscribe,1
304,eminem rap easy boy,0
305,u love rihanna subscribe,1
306,check music video chanel,1
307,check bands page youtube killtheclockhd check original songs including quot disguise quot,1
308,could guys please check channel hiphop beats,1
309,love song sooooooooooooooo much,0
310,everyone come check new gta gameplay right watch v _h sayho,1
311,check video youtube,1
312,hey guys cypher im years old rap life recently made second album desire ep please take moment check album youtube thank much reading every like comment subscription counts,1
313,eminem love way lie,0
314,hey guys ready cyphers back check video youtube new album check music tomorrow thanks reading,1
315,hey guys wouldnt mind could check boys music made real lyrical song search dna andrew guasch appreciate leave real feedback keep hip hop alive,1
316,girl megan fox,0
317,freaking sad,0
318,hello made one eminem song channel could guys put like please need subscribe thanks,1
319,hey guys guys please subscribe channel young rapper really dedicated post video everyday post verse bars part song everyday improve days right day whole year without missing one day guys please subscribe follow journey dream watch improve really means lot thank let promise lyrical keep real,1
320,hey e young coming rapper wanna get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscribers views first vid ive told potential,1
321,like lyrics music video,0
322,hope everyone good spirits hard working student also passionate singer look foward day make music share covers check channel done covers miley cyrus imagine dragons lana del rey drake macklemore pink countless others subscribe want goal become famous inspire fyi spamming everyone right freedom speech thanks,1
323,check channel rap hip hop music,1
324,br,0
325,adam b beats check page,1
326,rel nofollow class ot hashtag href awesome rel nofollow class ot hashtag href share rel nofollow class ot hashtag href rt eminem love way lie ft rihanna href,1
327,im e aspiring young rapper high hopes know click link check channel dont want well choice fact know dont click,1
328,looooved,0
329,need get billion views,0
330,hey everyone please take moment read work ass hoping make music industry hard get people hear dont money advertisements exposure young artist dreams goals like everybody else please take seconds visit channel dont like give chance prove talent also please take second life thumb comment would super helpful,1
331,amazing,0
332,almost billion,0
333,great song,0
334,please check video called quot love mind master quot thanks,1
335,okay trust favor need check guy named columbus nelson youtube,1
336,agree damn spammers suck im trying get known know feeling help leave likes comments page hope could maybe subscribe would awesome thanks,1
337,adam b beats check page,1
338,check lyrics watch v yuttx oyqq,1
339,understand song passion women feel like im losing mind understand ideas loving way someone lies,0
340,please read hey everyone year old student loves sing record upload covers channel would love could check give chance thumbs subscribe like hear listen really appreciate thank time,1
341,anybody else,0
342,hi lil check love way lie live performance many others videos lyrics thanks,1
343,subscribing comment great,1
344,like mmph version better,0
345,terrance thank serving country quot like quot quot subscribe quot,1
346,thumbs listen,0
347,hey everyone check channel leave like subscribe please song want post name comments get thanks,1
348,want make easy money check page tvcmcadavid weebly com dont miss opportunity,1
349,hi everyone duo starting record freestyles put youtube could check like comment would mean much us love may best recording equipment listen lyrics rhymes think like please subscribe share love making videos want like much possible feel free comment give us pointers thank,1
350,ladies check link find hottest hairstyles latest trends women go site upgrade hairstyles fashion senses higher level get left behind gt goo gl bxrosr,1
351,hi bangladesh,0
352,megan fox,0
353,fire,0
354,eminem fans check new song quot feelin good quot j p click quot ghostpoet quot link post thank,1
355,hi guys im upcoming rapper could check channel tell think maybe subscribe like would really appreciate haters welcome thanks,1
356,check new video made called quot love mind master quot thank u much,1
357,love way lie,0
358,hey e young coming rapper wanna get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscribers views first vid ive told potential,1
359,love way lie ii nicer opinion,0
360,almost billion,0
361,person loves real music listen quot cruz supat quot br awesome fuck eminem used,0
362,also check j j go road recovery,1
363,charlie got island dated megan fox b claire,0
364,hi guys check remixes thanx great swag,1
365,please check youtube channel uploaded first youtube video please check regret,1
366,eminem best rapper time,0
367,omg guy sounds like american professor green,0
368,thumbs think billion views,0
369,lemme top comments please,0
370,love song,0
371,favorite song,0
372,tryna work rappers check ones already channel,1
373,check berzerk video channel,1
374,super,0
375,eminem new song check videos,1
376,check video youtube,1
377,friends wife earns dollars month want wwhore get type wages working home pc taking surveys dont believe shit yahoo taking money mean legit please like msg gets thru vulnerable people like eminem used,1
378,subscribe please guys,1
379,th watched video youtube hes subscribed channel youtube recentley surpassing justing bieber less subs away beating taylor swift,1
380,hey e young coming rapper wanna get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscribers views first vid ive told potential,1
381,love,0
382,lil check hi live way lie many check subscribe,1
383,hello everyone please check video watch v b wywphi c takes minutes hope ask much help like amp share video please people see thumbs would mean much maybe make dream come true thanks everyone god bless,1
384,watch v aimbwbfqbzg watch subscrible,1
385,love eminem,0
386,love lie good,0
387,still listening,0
388,hey e young coming rapper wanna get music heard know spam wont get fame moment got way getting little attention please favour check channel drop sub enjoy im getting started really appreciate take time leave constructive criticism already got subscribers views first vid ive told potential,1
389,eminem rocks,0
390,check youtube videos funny cool rap,1
391,hay honesty wright year old love song thank makeing song love song much sometime harts get breaken people kill self go cazzy love much thanks keep go make sure dream comeing rule good luck,0
392,awesome,0
393,lovet,0
394,subscribe like video please,1
395,subscribed btw good style keep brother,1
396,know may want read please cypher year old rapper skill people said stuff good new stuff good please check current songs comment like thank reading rap life,1
397,charlie lost,0
398,eminem best,0
399,usually guys would vote people like actually check channel reminds smaller version mile give guy chance since everyone start somewhere,1
401,hello friends young year old rapper trying make something nothing please take second life check videos help reach dreams god bless,1
402,beautiful song,0
403,check channel boys girls,1
404,hey guys know annoying getting spammed sorry bout please take moment check channel im rapper decent skills want share music people take listen thumbs see,1
405,best rap ever,0
406,lover song,0
407,hey guys know wanna skip please take chance check music young coming rapper big dream appreciate constructive critisism please look thank time,1
408,love songs br supper cool br,0
409,like music anyone listening lyrics,0
410,maybe one probably read case put quot thumbs quot others see started rapping seriously type lunden video simple button help dreams come true people ignore listen subscribe thank god bless,1
412,check channel lyricism,1
413,big sister like,0
414,bad,0
415,love eminem lt,0
416,looks like megan fox xd,0
417,hey go channel check dongs thanks youtuber,1
418,megan fox,0
419,hate eminem nirvana trust,0
420,like eminen,0
421,check playlist,1
422,media evil please see share w w w farrell report net top ex uk police intelligence analyst turned whistleblower tony farrell exposes horrific monstrous cover perpetrated criminals operating crimes inside mainstream entertainment media law firms beware protect children devils brutally target innocent people real criminals linked london attacks must see make viral also see uk column video st january,1
423,subscribe channel,1
424,simply rap god,0
425,megan fox x,0
426,love song,0
427,check new em cover video trailer,1
428,really good song br know love song song,0
429,eminem greatest artist ever touch mic,0
430,love rihanna thailand,0
431,classsic,0
432,sorry spam yall know annoying spare min please check new track channel upcoming uk rapper please come check songs u might like em worries im sorry wastin time even thumbs get noticed really help peace yall,1
433,song like oreo black part good white part better,0
434,guy charley lost tv show,0
435,subscribe channel watch v nxk hkds,1
436,hi im year rapper support guy check channel check song might like also follow twitter mcashim follow back,1
437,hello brazil,0
438,eminem best ever,0
439,hey guys look im aware im spamming pisses people please take moment check music im young rapper love wanna share music people click picture see like stuff,1
440,know sean kingston got famous look kid hard hit message inbox subscribe check channel sounds fair,1
441,best song ever,0
442,check eminem latest track survival u didnt,1
443,subscribe channel x please spare,1
444,check videos guy hope guys good laugh,1
445,yrs ago health scare thankfully im okay realized wasnt living life fullest im mission everything ive always wanted found going die tomorrow would happy youve accomplished would regret certain things sorry spamming im trying motivate people things theyve always wanted youre bored come see ive done far almost subscribers started,1
446,rihanna looks beautiful red hair,0
447,views awesome,0
